Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2015-03-31,93.35298491,4.5,7.1,16.28604307,14814446.4436585,1021.6896031270352,8.100650736678352,1034.5688826775192,1048.463640548475,7.861546721519769,7.822688304415975,14585057.881653
2015-04-30,93.28004433,4.0,7.1,16.06278426,14913692.7493879,1015.9562701528047,7.88545007960066,1033.4563210568472,1042.985645021598,8.058376673204858,7.742826341581899,14606933.6981184
2015-05-31,93.00555951,3.75,6.9,15.85511524,15075624.3984943,1014.1708691481207,7.855207805928721,1024.8393161533497,1039.4430084404928,8.164468256622442,7.7030295180923165,14674538.6946499
2015-06-30,93.40471371,3.5,6.8,15.97100875,15208117.8390156,1012.4708773148409,7.899948278445184,1021.6896031270352,1034.5688826775192,8.100650736678352,7.861546721519769,14814446.4436585
2015-07-31,93.00390934,3.0,6.75,15.97169276,15385185.520097,1008.3895455629633,7.817453977134253,1015.9562701528047,1033.4563210568472,7.88545007960066,8.058376673204858,14913692.7493879
2015-08-31,92.92271414,3.0,6.55,15.9251407,15536573.0414239,1004.467010044506,8.159125674811447,1014.1708691481207,1024.8393161533497,7.855207805928721,8.164468256622442,15075624.3984943
2015-09-30,92.67720735,3.0,6.55,15.77762947,15721915.250705,1000.7989458631474,8.064156370989291,1012.4708773148409,1021.6896031270352,7.899948278445184,8.100650736678352,15208117.8390156
2015-10-31,92.41604093,2.25,6.25,15.73662883,15913225.7320749,998.0976078302514,8.232925786864186,1008.3895455629633,1015.9562701528047,7.817453977134253,7.88545007960066,15385185.520097
2015-11-30,92.40745245,2.25,6.0,15.26309746,16092526.7898775,994.7066482311856,8.116003366937626,1004.467010044506,1014.1708691481207,8.159125674811447,7.855207805928721,15536573.0414239
2015-12-31,92.57949656,2.25,5.95,15.46072571,16318187.1215069,998.2222210802901,7.942582340279948,1000.7989458631474,1012.4708773148409,8.064156370989291,7.899948278445184,15721915.250705
2016-01-31,93.2080079,1.75,5.95,15.62900239,16402089.496239,993.0393595962233,8.080474445794334,998.0976078302514,1008.3895455629633,8.232925786864186,7.817453977134253,15913225.7320749
2016-02-29,93.18508438,1.75,5.7,15.33902373,16454213.6833624,990.3071522705827,7.965490847155482,994.7066482311856,1004.467010044506,8.116003366937626,8.159125674811447,16092526.7898775
2016-03-31,92.33908505,1.75,5.7,15.44650947,16567568.1986223,988.2760237223366,8.022626016939748,998.2222210802901,1000.7989458631474,7.942582340279948,8.064156370989291,16318187.1215069
2016-04-30,92.42368042,1.75,5.55,14.8865336,16693708.225894,984.3982441359525,8.222178405998152,993.0393595962233,998.0976078302514,8.080474445794334,8.232925786864186,16402089.496239
2016-05-31,92.603103,1.75,5.4,14.27648589,16914113.735678,984.4947480778924,8.255998837140039,990.3071522705827,994.7066482311856,7.965490847155482,8.116003366937626,16454213.6833624
2016-06-30,92.58425206,1.75,5.25,14.24659229,17231368.5143777,984.1345416676481,8.335903863153856,988.2760237223366,998.2222210802901,8.022626016939748,7.942582340279948,16567568.1986223
2016-07-31,93.44616814,1.75,5.2,14.26531771,17381241.2322683,982.4482105761896,8.260316183747854,984.3982441359525,993.0393595962233,8.222178405998152,8.080474445794334,16693708.225894
2016-08-31,93.4764097,1.75,5.0,14.18266888,17570451.9860035,977.8696797238083,8.385278817205307,984.4947480778924,990.3071522705827,8.255998837140039,7.965490847155482,16914113.735678
2016-09-30,93.03471405,1.75,4.7,14.12798334,17803289.925417,978.1457356814107,8.163196230427515,984.1345416676481,988.2760237223366,8.335903863153856,8.022626016939748,17231368.5143777
2016-10-31,92.92599356,1.75,4.65,14.48176242,17984066.3116681,975.2442834961522,8.15794743529836,982.4482105761896,984.3982441359525,8.260316183747854,8.222178405998152,17381241.2322683
2016-11-30,92.92527825,1.75,4.6,14.25039071,18208079.9315135,975.9851456883835,8.111585165364897,977.8696797238083,984.4947480778924,8.385278817205307,8.255998837140039,17570451.9860035
2016-12-31,93.28790662,1.75,4.45,14.25108629,18403519.2061113,982.6735684457982,7.7529804104862485,978.1457356814107,984.1345416676481,8.163196230427515,8.335903863153856,17803289.925417
2017-01-31,93.81918636,1.75,4.55,14.24705502,18477382.0013763,983.5170213436353,7.949197024989593,975.2442834961522,982.4482105761896,8.15794743529836,8.260316183747854,17984066.3116681
2017-02-28,94.19657621,1.75,4.6,14.33715211,18635352.6008029,981.5115376809385,7.864816909948272,975.9851456883835,977.8696797238083,8.111585165364897,8.385278817205307,18208079.9315135
2017-03-31,93.79957582,1.75,4.5,14.09935246,18783890.3805516,981.7774889163759,7.8221072117174,982.6735684457982,978.1457356814107,7.7529804104862485,8.163196230427515,18403519.2061113
2017-04-30,93.94299154,2.5,4.6,14.18579848,18966391.0324567,979.6781537525234,8.035103755055664,983.5170213436353,975.2442834961522,7.949197024989593,8.15794743529836,18477382.0013763
2017-05-31,94.15064897,4.0,4.55,14.14639311,19176254.2210129,981.5100692630892,8.336115933464452,981.5115376809385,975.9851456883835,7.864816909948272,8.111585165364897,18635352.6008029
2017-06-30,94.22699022,4.5,5.7,14.74281159,19383043.1359666,990.2025817398323,7.956670237749138,981.7774889163759,982.6735684457982,7.8221072117174,7.7529804104862485,18783890.3805516
2017-07-31,94.53304812,4.5,5.95,15.29818044,19450226.6355864,1004.4098633598338,8.123485562832077,979.6781537525234,983.5170213436353,8.035103755055664,7.949197024989593,18966391.0324567
